,C1,C10,C100,C1000,C1001,C1002,C1003,C1004,C1005,C1006,C1007,C1008,C1009,C101,C1010,C1011,C1012,C1013,C1014,C1015,C1016,C1017,C1018,C1019,C102,C1020,C1021,C1022,C1023,C1024
AILA_Q1,54,20,28,43,42,31,32,34,48,17,41,51,20,5,56,58,25,52,46,48,51,58,56,58,31,15,26,28,55,35
AILA_Q2,40,11,17,29,57,19,20,21,33,9,27,36,11,3,53,48,14,37,31,34,36,50,51,44,18,8,15,16,41,22
AILA_Q3,24,5,8,16,51,9,10,11,18,4,14,21,5,1,36,31,7,21,17,19,21,32,34,27,9,3,7,8,24,11
AILA_Q4,34,8,13,23,58,15,16,17,27,7,21,30,8,2,46,41,11,31,26,28,30,44,45,37,14,6,12,13,34,18
AILA_Q5,49,15,23,37,48,25,26,28,42,13,35,45,15,4,58,56,20,46,40,43,45,57,58,52,25,11,21,22,49,30
AILA_Q6,35,9,14,25,58,16,16,18,29,8,23,32,9,2,49,44,12,32,27,29,32,45,48,39,15,6,13,13,36,19
AILA_Q7,26,6,9,17,53,10,11,12,20,5,16,23,6,1,38,33,8,23,19,21,23,35,37,29,10,4,8,9,26,13
AILA_Q8,43,12,18,31,54,21,22,23,36,11,29,39,12,3,55,51,16,40,34,36,40,53,54,47,20,9,17,18,43,25
AILA_Q9,46,13,20,34,51,23,24,25,38,12,31,42,14,3,57,54,18,43,37,39,43,55,57,50,22,10,19,20,46,27
AILA_Q10,32,8,12,22,59,14,15,16,26,7,20,29,8,2,45,39,10,29,24,26,29,42,43,35,14,5,11,12,32,17
AILA_Q11,50,17,25,39,46,27,28,30,44,15,37,47,17,5,58,56,22,48,42,44,47,58,57,54,27,12,23,24,51,32
AILA_Q12,23,5,8,15,50,9,9,10,18,4,13,20,5,1,34,29,6,21,16,18,20,31,33,26,9,3,7,7,23,11
AILA_Q13,42,12,18,30,55,20,21,23,35,10,29,39,12,3,53,49,16,39,33,35,38,52,51,46,20,8,17,18,42,24
AILA_Q14,35,9,13,24,59,15,16,17,28,7,22,31,9,2,48,43,11,32,27,29,32,45,47,38,15,6,12,13,35,19
AILA_Q15,39,11,16,29,56,19,19,21,33,9,26,36,11,3,53,49,14,37,31,34,36,50,51,43,18,8,15,16,40,22
AILA_Q16,43,12,18,31,54,21,21,23,36,10,29,39,12,3,55,51,16,40,34,36,39,53,54,46,20,9,17,18,43,24
AILA_Q17,43,12,19,31,54,21,22,23,36,11,29,39,12,3,54,50,16,39,34,36,39,52,53,46,20,9,17,18,43,25
AILA_Q18,28,7,10,20,56,12,13,14,23,6,18,26,7,2,41,36,9,26,22,23,26,38,40,32,12,5,9,10,29,15
AILA_Q19,45,13,20,34,52,22,23,25,38,11,31,41,13,3,57,53,17,42,36,39,42,55,56,49,22,9,18,20,46,26
AILA_Q20,37,9,15,26,58,17,18,19,30,8,24,33,10,2,50,46,13,34,29,31,34,47,49,40,16,7,14,14,37,20
AILA_Q21,36,9,14,26,59,17,17,19,30,8,24,33,10,2,50,44,12,34,28,30,33,47,48,40,16,7,13,14,37,20
AILA_Q22,49,16,24,38,48,26,27,29,43,14,35,46,16,4,58,56,21,47,41,43,47,57,58,53,26,12,22,23,50,31
AILA_Q23,47,14,21,35,51,24,25,26,39,13,33,43,15,4,57,53,19,44,38,40,43,55,55,50,23,10,20,21,47,28
AILA_Q24,53,18,26,41,45,29,30,32,46,16,39,49,18,5,57,58,23,50,44,46,49,58,57,55,28,13,24,26,53,33
AILA_Q25,39,10,16,29,57,18,19,21,33,9,26,36,11,3,53,48,14,37,31,33,36,50,51,43,18,7,15,16,41,22
AILA_Q26,54,19,28,43,43,31,32,34,48,17,41,51,20,5,57,59,25,52,47,48,51,58,57,57,31,14,26,28,56,35
AILA_Q27,42,12,18,31,55,21,22,23,36,11,29,39,12,3,55,50,16,40,34,36,39,52,53,46,20,9,17,18,43,24
AILA_Q28,26,6,9,18,54,11,11,12,21,5,16,24,6,1,39,35,8,24,20,21,24,36,38,30,10,4,8,9,27,13
AILA_Q29,49,15,23,37,49,25,26,28,42,14,35,45,16,4,58,56,20,46,40,42,45,57,57,52,25,11,21,22,50,30
AILA_Q30,44,13,19,33,53,22,23,24,37,11,30,40,13,3,57,52,17,41,35,38,40,54,55,48,21,9,18,19,44,26
AILA_Q31,43,12,19,32,53,21,22,24,37,11,30,40,13,3,56,51,16,41,35,37,40,53,54,47,21,9,17,19,44,25
AILA_Q32,25,6,9,17,53,10,11,12,20,5,15,23,6,1,37,33,8,23,19,20,23,34,36,29,10,4,8,9,26,13
AILA_Q33,40,11,17,29,56,19,20,21,33,10,27,37,11,3,53,48,15,37,32,34,37,50,51,44,19,8,15,17,41,23
AILA_Q34,51,17,25,40,46,28,29,31,45,15,38,48,18,5,58,57,22,48,43,45,48,58,57,54,27,13,23,25,52,32
AILA_Q35,50,16,24,39,46,27,28,29,43,14,36,47,16,4,58,58,21,47,42,44,47,57,58,54,26,12,22,23,51,31
AILA_Q36,47,14,22,36,49,24,25,27,40,13,33,44,15,4,58,55,19,45,39,41,44,57,57,51,24,10,20,21,48,28
AILA_Q37,42,12,18,31,54,20,21,23,35,10,28,38,12,3,55,50,15,39,33,36,39,53,54,46,20,8,16,17,42,24
AILA_Q38,29,7,11,20,55,12,13,14,23,6,18,26,7,2,42,37,9,27,22,23,26,38,40,33,12,5,10,10,29,15
AILA_Q39,49,16,24,38,47,26,27,29,43,14,36,46,16,4,59,57,21,47,41,44,47,57,58,53,26,12,22,23,50,31
AILA_Q40,32,8,12,22,58,14,15,16,26,7,20,29,8,2,45,40,10,30,24,26,29,42,43,36,14,5,11,12,33,17
AILA_Q41,45,13,20,34,52,22,23,25,38,12,31,41,14,3,57,54,17,42,36,39,42,55,56,49,22,9,18,20,45,27
AILA_Q42,25,5,9,17,54,10,11,12,20,5,15,23,6,1,38,33,7,23,19,20,23,35,36,29,10,4,8,9,26,12
AILA_Q43,39,10,16,28,57,18,19,20,32,9,26,36,11,3,52,47,14,36,30,32,35,49,50,43,18,7,15,16,39,21
AILA_Q44,35,9,14,24,58,16,16,18,28,8,23,32,9,2,49,43,12,32,27,29,32,45,46,39,15,6,13,13,36,19
AILA_Q45,28,6,10,19,58,12,12,13,22,5,17,26,7,2,41,37,9,26,21,23,25,38,40,32,11,4,9,10,29,14
AILA_Q46,43,12,19,32,53,21,22,24,37,11,30,40,13,3,56,52,16,41,35,37,41,53,55,47,21,9,17,19,44,25
AILA_Q47,47,15,22,36,50,24,25,27,41,13,33,44,15,4,58,55,19,44,39,41,45,56,57,51,24,11,20,21,48,29
AILA_Q48,28,6,10,19,55,12,12,13,22,5,17,25,6,2,40,35,8,25,21,23,25,37,39,31,11,4,9,10,28,14
AILA_Q49,26,6,9,18,54,11,11,12,21,5,16,24,6,1,39,34,8,24,20,21,24,36,37,30,11,4,8,9,27,13
AILA_Q50,43,12,18,31,54,21,22,23,36,11,29,39,12,3,55,51,16,40,34,37,40,53,54,47,20,9,17,18,44,25
